town,area,price
Midtown East,190,4740000
Hudson Yards,219,6271000
Kips Bay,181,3267000
Midtown West,183,4197000
Midtown East,223,5243000
Greenwich Village,178,4783000
Inwood,166,975000
Washington Heights,204,1311000
Chelsea,251,6683000
East Harlem,197,1554000
Lower East Side,111,1786000
Little Italy,114,2938000
Harlem,128,1488000
Murray Hill,185,3238000
Tribeca,287,11570000
Tribeca,310,11941000
Kips Bay,139,2906000
Morningside Heights,167,2168000
SoHo,294,10705000
Financial District,320,6614000
Hamilton Heights,174,1712000
Gramercy Park,156,3974000
Morningside Heights,127,1513000
Washington Heights,127,814000
Lower East Side,119,945000
Chinatown,153,1764000
East Harlem,107,1070000
Two Bridges,41,572000
Tribeca,456,17504000
Kips Bay,115,2127000
Morningside Heights,67,604000
Midtown West,124,3396000
Lower East Side,164,3439000
Gramercy Park,228,5101000
Morningside Heights,86,1239000
Financial District,162,2732000
Morningside Heights,102,1403000
Upper East Side,226,5732000
Midtown East,213,5300000
Flatiron,245,6127000
SoHo,284,5745000
Chinatown,140,1523000
Midtown West,157,2984000
Midtown East,44,902000
Gramercy Park,238,6564000
East Harlem,137,1676000
Hamilton Heights,98,806000
Morningside Heights,101,1492000
Midtown West,190,4994000
Two Bridges,100,1411000
Stuyvesant Town,205,2444000
Little Italy,180,3475000
Upper West Side,505,12259000
Financial District,213,4758000
Carnegie Hill,226,5407000
Gramercy Park,271,4087000
Two Bridges,120,1486000
Harlem,186,1389000
Morningside Heights,113,1414000
Hudson Yards,217,9833000
Midtown West,323,7643000
Carnegie Hill,256,8326000
Greenwich Village,208,4526000
Midtown West,132,2982000
Midtown East,91,2557000
Hell's Kitchen,152,2443000
Midtown East,309,8060000
Hamilton Heights,109,938000
Two Bridges,59,683000
Stuyvesant Town,128,2256000
Gramercy Park,318,9053000
Chelsea,176,2214000
Two Bridges,162,1838000
Harlem,188,2411000
Murray Hill,175,3965000
Midtown West,201,4774000
Hamilton Heights,152,1425000
Carnegie Hill,320,8599000
Stuyvesant Town,179,3787000
Chelsea,218,4150000
West Village,216,6251000
Hell's Kitchen,182,3108000
Inwood,186,1222000
Financial District,193,4131000
Tribeca,333,7999000
Kips Bay,260,4847000
Inwood,63,516000
Chinatown,99,1258000
Greenwich Village,138,3929000
Greenwich Village,289,8265000
Murray Hill,155,3945000
Midtown West,175,2507000
Little Italy,102,2212000
Chinatown,121,997000
East Harlem,161,851000
Hudson Yards,217,6129000
Hamilton Heights,141,1382000
Hell's Kitchen,136,2061000
Morningside Heights,83,972000
Little Italy,174,4412000
Greenwich Village,223,5709000
Two Bridges,164,1745000
Two Bridges,73,709000
West Village,166,4756000
Midtown East,378,9379000
SoHo,381,14546000
Greenwich Village,262,5415000
Upper East Side,316,6101000
SoHo,193,5837000
Upper East Side,318,9265000
Inwood,154,1056000
Hell's Kitchen,176,2388000
Lower East Side,170,4201000
Upper East Side,397,9224000
Lower East Side,279,4781000
Carnegie Hill,162,4800000
Chinatown,87,939000
Chinatown,224,3579000
Hamilton Heights,49,421000
Greenwich Village,225,6676000
Upper East Side,337,7730000
Greenwich Village,178,4947000
Washington Heights,146,1227000
Gramercy Park,153,2745000
Battery Park City,200,6170000
Hell's Kitchen,276,6118000
East Harlem,96,872000
Upper East Side,200,4542000
Chinatown,78,893000
Greenwich Village,184,4208000
Lower East Side,160,2683000
Nolita,269,6750000
Financial District,220,4361000
Inwood,54,326000
Chelsea,210,4564000
Inwood,89,725000
Murray Hill,198,3708000
Inwood,95,477000
Little Italy,208,5215000
Murray Hill,68,1626000
Midtown West,268,5460000
Morningside Heights,196,2154000
Upper West Side,269,7438000
Lower East Side,91,1962000
Greenwich Village,107,3471000
Hell's Kitchen,211,5296000
East Harlem,90,821000
Flatiron,168,4532000
Chinatown,162,1660000
Hamilton Heights,117,883000
Gramercy Park,278,6265000
Stuyvesant Town,104,1720000
Chinatown,170,1823000
Gramercy Park,84,1479000
Lower East Side,95,1583000
West Village,264,8095000
Nolita,161,4531000
Washington Heights,204,1227000
Tribeca,236,8430000
Hell's Kitchen,189,4694000
Chinatown,74,1105000
Little Italy,213,5198000
Inwood,150,1089000
East Harlem,126,1241000
SoHo,282,7415000
Murray Hill,242,4508000
Gramercy Park,280,6472000
Gramercy Park,341,8569000
Murray Hill,264,5319000
East Harlem,192,1540000
Inwood,85,493000
Tribeca,300,8161000
Washington Heights,132,948000
Greenwich Village,182,4939000
Midtown East,327,7655000
Little Italy,247,6450000
Nolita,50,1593000
Midtown East,165,3422000
Lower East Side,197,3255000
Lower East Side,149,2028000
Gramercy Park,46,1060000
Hudson Yards,197,8014000
Hamilton Heights,109,973000
Midtown East,246,5393000
Hell's Kitchen,279,6305000
Stuyvesant Town,181,2183000
Lower East Side,143,2541000
Carnegie Hill,56,1377000
Midtown East,74,1958000
SoHo,164,5981000
Murray Hill,161,2977000
Hudson Yards,164,5367000
Carnegie Hill,251,8223000
Hamilton Heights,77,504000
Hudson Yards,377,12833000
Greenwich Village,189,4015000
Kips Bay,187,2814000
Upper West Side,323,8160000
Harlem,111,1310000
Chelsea,225,6167000
Upper East Side,737,15059000
Morningside Heights,162,1913000
SoHo,153,6027000
Upper East Side,157,5359000
Carnegie Hill,198,4026000
Gramercy Park,247,5616000
Inwood,119,721000
Kips Bay,177,2473000
Battery Park City,240,5209000
Morningside Heights,232,2127000
Murray Hill,167,2896000
West Village,202,6560000
Inwood,97,534000
Stuyvesant Town,99,1587000
Upper East Side,121,3131000
Murray Hill,151,3374000
Morningside Heights,101,838000
Hell's Kitchen,201,3139000
Washington Heights,172,1276000
East Harlem,232,2137000
West Village,253,8383000
Hell's Kitchen,188,4845000
Hell's Kitchen,155,2696000
Kips Bay,279,4873000
Nolita,132,5908000
Nolita,215,5500000
Inwood,122,809000
Greenwich Village,263,5004000
Hell's Kitchen,177,4030000
Two Bridges,117,1762000
Chinatown,88,1070000
Murray Hill,165,2174000
Lower East Side,257,4037000
East Harlem,182,1590000
West Village,181,5005000
Chelsea,154,4510000
Battery Park City,253,4787000
Little Italy,177,4495000
Nolita,162,4469000
Two Bridges,96,1091000
Upper East Side,475,14255000
Little Italy,81,2395000
Little Italy,155,4181000
Two Bridges,90,1201000
Hell's Kitchen,182,3839000
Two Bridges,150,1778000
Hell's Kitchen,91,2061000
Stuyvesant Town,92,1232000
Greenwich Village,265,7946000
Flatiron,295,7088000
Midtown East,192,3747000
East Harlem,88,738000
Greenwich Village,219,3048000
Chinatown,159,1990000
Inwood,186,1163000
Harlem,139,1557000
Greenwich Village,176,6010000
Nolita,195,6558000
Tribeca,84,2371000
West Village,80,2003000
Carnegie Hill,280,8843000
Chelsea,153,3928000
Gramercy Park,293,6196000
Greenwich Village,346,7688000
SoHo,205,4768000
Gramercy Park,256,5591000
Chelsea,204,3701000
Hudson Yards,313,9219000
Flatiron,259,6550000
Upper West Side,140,3787000
Nolita,199,4608000
Hamilton Heights,113,1053000
Nolita,135,4710000
Upper East Side,509,13147000
Upper East Side,304,11973000
Nolita,51,1426000
Lower East Side,156,1823000
SoHo,120,3886000
Little Italy,58,1105000
Lower East Side,247,4295000
Hamilton Heights,141,910000
Nolita,132,2774000
Stuyvesant Town,127,1610000
Battery Park City,325,8470000
Battery Park City,187,3958000
Tribeca,396,8864000
SoHo,344,14060000
Upper East Side,323,8492000
Upper West Side,369,9286000
Little Italy,129,3187000
Hell's Kitchen,133,3993000
Lower East Side,260,3948000
Hamilton Heights,71,596000
Financial District,281,6617000
East Harlem,199,2261000
Flatiron,285,7434000
Murray Hill,246,3867000
Upper East Side,294,5033000
Carnegie Hill,245,6072000
Murray Hill,227,5435000
Gramercy Park,305,5009000
Flatiron,82,1964000
East Harlem,84,695000
Tribeca,290,10761000
Hell's Kitchen,123,2158000
Hudson Yards,257,11087000
Midtown West,243,6027000
East Harlem,178,1516000
SoHo,406,11570000
Gramercy Park,180,3482000
Little Italy,51,1147000
SoHo,249,8114000
Chinatown,210,2808000
Upper West Side,184,2298000
Kips Bay,145,2458000
Midtown East,282,5919000
SoHo,231,7467000
Carnegie Hill,222,6529000
Washington Heights,120,990000
Hudson Yards,364,12107000
Financial District,311,4895000
Little Italy,197,4962000
Washington Heights,163,1440000
Chelsea,185,4601000
Hamilton Heights,132,877000
West Village,212,6761000
Chinatown,132,1359000
Upper West Side,429,9867000
Flatiron,97,2376000
Hamilton Heights,164,1183000
Tribeca,463,18250000
Lower East Side,97,1997000
SoHo,70,2713000
Nolita,104,2479000
Nolita,152,4963000
Midtown East,228,7647000
East Harlem,200,2281000
SoHo,202,5763000
Lower East Side,204,3910000
Carnegie Hill,274,6533000
Kips Bay,108,1681000
Tribeca,312,12831000
Washington Heights,108,910000
Midtown West,253,5445000
Chelsea,316,9107000
Hell's Kitchen,63,1484000
Upper West Side,380,8531000
Upper West Side,276,7346000
Greenwich Village,77,2174000
Hudson Yards,284,12961000
Lower East Side,125,2540000
Harlem,143,1301000
Kips Bay,154,3360000
Washington Heights,163,1420000
Lower East Side,93,1505000
SoHo,98,3091000
West Village,224,6266000
Tribeca,339,11488000
West Village,200,4927000
Tribeca,417,12983000
SoHo,367,9500000
Midtown West,246,4963000
Gramercy Park,228,5595000
Upper West Side,196,5194000
Carnegie Hill,175,2955000
Financial District,179,3659000
SoHo,424,10803000
Upper East Side,412,13768000
Chinatown,75,829000
Flatiron,160,4026000
Chelsea,158,2771000
SoHo,154,4440000
Nolita,247,6378000
Hell's Kitchen,56,758000
Hamilton Heights,120,1098000
Tribeca,253,9229000
Upper East Side,319,9192000
Chelsea,42,833000
Tribeca,400,14532000
Lower East Side,226,3908000
Upper East Side,182,5046000
West Village,267,8308000
Kips Bay,186,3460000
Chinatown,102,1178000
Chelsea,205,6075000
Little Italy,195,4823000
Tribeca,265,9692000
Murray Hill,191,4820000
Nolita,153,4413000
Midtown East,394,9486000
Hamilton Heights,130,818000
Upper East Side,450,9627000
Morningside Heights,169,1258000
Carnegie Hill,465,9182000
Tribeca,285,9490000
West Village,111,3260000
Upper West Side,473,9838000
Stuyvesant Town,173,2867000
Flatiron,189,6758000
Financial District,101,2329000
Nolita,146,3259000
Gramercy Park,140,3337000
Stuyvesant Town,198,2796000
Gramercy Park,171,3215000
Harlem,200,1757000
Carnegie Hill,128,3161000
SoHo,145,6136000
Hamilton Heights,69,507000
Hamilton Heights,89,904000
Tribeca,323,5298000
Little Italy,172,3160000
Hell's Kitchen,258,6014000
Hamilton Heights,163,1006000
Stuyvesant Town,108,1867000
Chelsea,208,6316000
Chelsea,209,4469000
Upper East Side,493,14554000
SoHo,359,9820000
Kips Bay,201,2669000
Midtown East,232,4720000
East Harlem,160,1583000
Financial District,203,4796000
Nolita,110,2794000
West Village,80,2098000
Little Italy,187,4489000
Upper West Side,170,3179000
Greenwich Village,158,3709000
Upper West Side,364,7292000
Carnegie Hill,321,6848000
Battery Park City,202,2765000
Hell's Kitchen,157,3483000
Little Italy,44,1163000
Inwood,80,533000
Hudson Yards,203,5964000
Upper West Side,159,4657000
Hamilton Heights,73,501000
Little Italy,148,3124000
Hamilton Heights,116,767000
West Village,316,8412000
Upper East Side,343,8140000
Chelsea,180,4610000
Upper West Side,354,10568000
West Village,264,6694000
Two Bridges,155,1973000
Financial District,178,4066000
Chelsea,215,5292000
Harlem,37,412000
Little Italy,266,7036000
Harlem,201,2989000
West Village,155,5368000
Midtown East,343,6072000
Carnegie Hill,436,9053000
Financial District,297,6084000
Upper East Side,468,14800000
Upper East Side,79,2333000
Chelsea,191,3775000
Morningside Heights,166,1941000
Greenwich Village,293,6119000
Midtown East,210,6247000
Upper West Side,411,6893000
Tribeca,530,12784000
Little Italy,40,742000
Morningside Heights,120,1215000
Upper West Side,535,14288000
Kips Bay,117,2538000
Murray Hill,207,3987000
Hell's Kitchen,177,3796000
Midtown West,186,6050000
Inwood,111,718000
Financial District,241,5903000
Washington Heights,133,964000
Gramercy Park,241,5528000
West Village,207,6963000
Washington Heights,183,1580000
Two Bridges,100,1359000
Midtown West,241,5693000
Little Italy,274,6958000
East Harlem,80,742000
Murray Hill,123,2578000
Midtown East,268,7621000
Murray Hill,250,5205000
Greenwich Village,83,2079000
Two Bridges,49,678000
Greenwich Village,241,7144000
Hell's Kitchen,173,3780000
Lower East Side,53,977000
Tribeca,270,9699000
Inwood,147,1112000
Midtown West,59,1315000
SoHo,344,8372000
Hudson Yards,425,19742000
Financial District,333,6232000
Financial District,182,4126000
Greenwich Village,314,9673000
East Harlem,218,2042000
Stuyvesant Town,125,1770000
Flatiron,169,5104000
Greenwich Village,226,6573000
Financial District,203,4407000
Tribeca,271,10000000
Midtown West,320,9147000
Harlem,37,348000
Carnegie Hill,168,3233000
Hell's Kitchen,110,2416000
Midtown East,372,7006000
Hell's Kitchen,46,926000
Inwood,118,696000
Midtown East,390,11313000
SoHo,316,9281000
Hell's Kitchen,95,2215000
Washington Heights,86,526000
Midtown West,372,7500000
Carnegie Hill,238,5945000
Harlem,130,1657000
Midtown West,203,4685000
SoHo,176,5978000
Chinatown,94,1295000
Chelsea,182,3654000
Flatiron,84,2092000
Upper East Side,398,9916000
Midtown West,361,7474000
Lower East Side,253,4469000
Harlem,128,1291000
Greenwich Village,162,3878000
Carnegie Hill,279,7426000
Nolita,235,6351000
Hudson Yards,462,13980000
Morningside Heights,150,1938000
Flatiron,258,7155000
Midtown West,305,7099000
Tribeca,248,8516000
Inwood,116,1002000
Inwood,129,935000
Harlem,79,843000
Upper East Side,308,8876000
Murray Hill,217,6027000
Inwood,71,495000
Carnegie Hill,442,13796000
Financial District,288,5703000
Harlem,206,2158000
West Village,163,5660000
Lower East Side,101,1733000
West Village,141,3901000
Hell's Kitchen,239,4342000
Inwood,64,455000
Hamilton Heights,165,1005000
Two Bridges,67,890000
Hudson Yards,150,4642000
Greenwich Village,139,3230000
Hudson Yards,133,2547000
Chelsea,220,3531000
Washington Heights,108,917000
West Village,46,1424000
Lower East Side,162,2438000
Washington Heights,154,1727000
Kips Bay,184,3251000
Murray Hill,279,6660000
Morningside Heights,151,1858000
Midtown West,37,889000
Two Bridges,221,3184000
Chelsea,136,2805000
Midtown East,328,8982000
West Village,146,4457000
Lower East Side,145,2711000
Murray Hill,193,4029000
Chelsea,220,6482000
Carnegie Hill,382,8708000
Little Italy,117,2919000
West Village,257,6327000
Flatiron,154,4329000
West Village,180,6707000
Lower East Side,115,1389000
Hudson Yards,304,8059000
Upper West Side,510,10655000
Financial District,201,5344000
Kips Bay,79,1137000
Battery Park City,46,1040000
Kips Bay,69,1664000
Chelsea,252,4832000
Murray Hill,101,2598000
Two Bridges,154,1405000
West Village,72,1948000
Washington Heights,73,510000
Hell's Kitchen,180,4326000
Two Bridges,115,1348000
Murray Hill,160,2848000
East Harlem,138,1184000
Midtown West,186,4649000
Stuyvesant Town,103,1485000
Gramercy Park,46,999000
Kips Bay,37,826000
East Harlem,96,1047000
Tribeca,260,9645000
Little Italy,172,3893000
Flatiron,131,2099000
Hell's Kitchen,162,3230000
Greenwich Village,279,9717000
Flatiron,319,9446000
Carnegie Hill,379,9361000
East Harlem,118,1062000
Upper West Side,178,5648000
Murray Hill,71,1294000
Stuyvesant Town,226,3697000
Lower East Side,279,5081000
East Harlem,123,873000
Chelsea,227,7421000
Upper West Side,358,7411000
Tribeca,486,18176000
Gramercy Park,260,6412000
Flatiron,207,6298000
Morningside Heights,92,1073000
Carnegie Hill,278,7120000
East Harlem,146,1493000
SoHo,299,9230000
Upper East Side,265,8587000
Gramercy Park,248,4217000
Hamilton Heights,163,1068000
Two Bridges,124,1341000
West Village,219,5717000
Hell's Kitchen,183,3024000
Little Italy,164,3653000
Kips Bay,187,3631000
Murray Hill,172,3916000
Lower East Side,141,3024000
Harlem,181,1534000
Midtown East,201,4623000
Tribeca,247,7017000
Kips Bay,104,1994000
Midtown East,252,3958000
Lower East Side,177,2896000
Upper East Side,446,15515000
Kips Bay,126,2893000
Financial District,153,3316000
SoHo,255,9780000
Hamilton Heights,161,1449000
Hudson Yards,214,7562000
East Harlem,230,1641000
Upper East Side,106,2117000
Midtown West,169,4626000
Inwood,118,774000
Upper East Side,454,16282000
Chinatown,142,1858000
Hudson Yards,138,4644000
Hudson Yards,288,9834000
Hell's Kitchen,52,1137000
Harlem,195,1828000
Kips Bay,37,653000
East Harlem,88,1076000
SoHo,278,8738000
Hamilton Heights,120,585000
Lower East Side,113,1726000
Battery Park City,113,2219000
Gramercy Park,292,6057000
Washington Heights,152,863000
Stuyvesant Town,229,2854000
Murray Hill,109,2662000
Murray Hill,204,4537000
Hamilton Heights,141,994000
Carnegie Hill,316,8043000
Morningside Heights,92,863000
Little Italy,219,6545000
Inwood,83,567000
Lower East Side,166,2476000
Midtown West,94,1803000
Financial District,199,3939000
Chelsea,66,1543000
Hell's Kitchen,131,2991000
Hamilton Heights,48,373000
SoHo,288,10277000
Gramercy Park,219,4443000
Hudson Yards,511,15413000
Morningside Heights,159,1485000
Kips Bay,144,3543000
Upper West Side,349,7502000
Tribeca,292,13111000
Stuyvesant Town,109,1705000
Upper East Side,191,6802000
Chinatown,111,1592000
Harlem,209,2096000
Flatiron,178,4233000
Chinatown,108,1575000
Lower East Side,116,1830000
Harlem,229,2394000
Upper West Side,177,4277000
Gramercy Park,320,5882000
Harlem,136,1908000
Hell's Kitchen,107,2347000
Stuyvesant Town,116,1861000
Nolita,325,7977000
Hudson Yards,182,3972000
Tribeca,277,9022000
Greenwich Village,235,5757000
Battery Park City,139,2875000
Inwood,108,571000
Midtown West,176,4014000
Flatiron,225,3860000
Hudson Yards,407,11062000
Two Bridges,133,1887000
Tribeca,403,12404000
SoHo,290,7686000
Nolita,189,5071000
Kips Bay,174,2627000
Lower East Side,128,3210000
Chelsea,119,2624000
Kips Bay,87,1286000
Hell's Kitchen,200,3963000
Two Bridges,175,2007000
Nolita,237,6764000
Washington Heights,127,652000
Midtown East,307,6644000
Chinatown,178,2630000
Harlem,81,656000
Hudson Yards,270,7225000
Gramercy Park,210,4019000
Morningside Heights,93,899000
Hamilton Heights,86,575000
Hamilton Heights,153,1200000
Carnegie Hill,354,5492000
Gramercy Park,257,5651000
Harlem,120,1193000
Stuyvesant Town,56,925000
Washington Heights,190,1389000
Midtown East,152,4022000
Hudson Yards,372,12347000
Battery Park City,178,2922000
Upper East Side,276,8051000
Hell's Kitchen,171,4466000
Upper West Side,254,6334000
Morningside Heights,133,1731000
Stuyvesant Town,108,1727000
Upper East Side,434,14704000
Midtown East,143,3164000
Gramercy Park,238,6742000
Nolita,122,3755000
Stuyvesant Town,149,2483000
Harlem,136,1233000
SoHo,372,12952000
Morningside Heights,141,1693000
Flatiron,174,4478000
SoHo,252,6651000
Murray Hill,235,3993000
Hudson Yards,253,7913000
Lower East Side,128,1501000
Battery Park City,106,2038000
Lower East Side,275,4041000
Murray Hill,124,2400000
Financial District,164,3896000
Hell's Kitchen,42,933000
Tribeca,499,14906000
Gramercy Park,269,6996000
Hell's Kitchen,54,1153000
Flatiron,205,6000000
Midtown West,272,5674000
Greenwich Village,212,7691000
Battery Park City,91,2588000
Two Bridges,147,2117000
Greenwich Village,362,8162000
Gramercy Park,301,5389000
Hell's Kitchen,165,3912000
Midtown West,288,7316000
Midtown West,278,6389000
Upper East Side,291,6160000
Midtown East,245,4652000
Washington Heights,146,1187000
Harlem,57,630000
Morningside Heights,118,1447000
Flatiron,372,9660000
Midtown East,207,5863000
Hudson Yards,198,6084000
Stuyvesant Town,191,3214000
Morningside Heights,128,1543000
Lower East Side,218,4078000
Greenwich Village,269,7539000
West Village,328,9757000
Hudson Yards,223,7095000
Morningside Heights,135,1367000
East Harlem,70,597000
Hamilton Heights,155,973000
Washington Heights,110,647000
Upper West Side,222,5275000
Nolita,228,8487000
Chinatown,136,2173000
Stuyvesant Town,94,1798000
Harlem,121,1129000
Greenwich Village,217,5253000
Upper West Side,296,5586000
Carnegie Hill,203,5678000
Harlem,127,1214000
Flatiron,95,1923000
East Harlem,154,2155000
Nolita,285,6374000
West Village,269,6635000
West Village,204,5597000
Inwood,101,553000
Little Italy,188,5004000
Gramercy Park,233,4360000
Financial District,302,3803000
East Harlem,221,1748000
Midtown West,37,727000
Inwood,123,838000
Morningside Heights,119,1012000
Hell's Kitchen,124,2622000
Upper East Side,497,14101000
Carnegie Hill,85,2145000
Kips Bay,138,1835000
Lower East Side,129,1657000
Chinatown,114,1318000
Upper East Side,367,9231000
Upper East Side,211,5068000
Lower East Side,225,3193000
Gramercy Park,366,10251000
Battery Park City,221,3612000
West Village,418,13608000
Upper West Side,404,9965000
Two Bridges,116,1072000
Tribeca,305,10155000
Upper West Side,384,9133000
Nolita,213,6025000
Hudson Yards,367,12794000
Washington Heights,112,594000
Murray Hill,148,3291000
Upper West Side,216,3728000
Nolita,145,4182000
Washington Heights,204,2152000
Battery Park City,209,5324000
Hamilton Heights,88,647000
Inwood,80,603000
Little Italy,128,3626000
Financial District,246,4369000
West Village,219,7461000
Flatiron,49,1501000
Morningside Heights,100,1261000
Lower East Side,264,4222000
Gramercy Park,242,4318000
East Harlem,132,955000
Midtown East,261,7452000
Flatiron,160,4917000
Stuyvesant Town,148,2649000
West Village,297,8448000
Murray Hill,213,4001000
Midtown West,162,4674000
Chelsea,63,1351000
East Harlem,81,683000
Chinatown,165,2264000
Inwood,146,1038000
Gramercy Park,180,4747000
Carnegie Hill,320,8276000
Harlem,234,3054000
West Village,310,7927000
Upper West Side,366,6980000
Washington Heights,202,2126000
West Village,197,5718000
Hamilton Heights,87,804000
Midtown East,189,3921000
Washington Heights,86,506000
Morningside Heights,184,2781000
Nolita,321,11035000
Battery Park City,124,2909000
Upper West Side,359,7668000
Inwood,95,482000
Chelsea,200,4857000
Greenwich Village,99,3331000
Washington Heights,136,1120000
Chinatown,79,1029000
Upper West Side,358,6777000
Little Italy,120,2228000
Gramercy Park,96,2445000
Hamilton Heights,92,846000
Murray Hill,111,2179000
Gramercy Park,81,1034000
Kips Bay,237,5333000
Hudson Yards,244,7382000
SoHo,327,8719000
Stuyvesant Town,49,562000
Kips Bay,243,5815000
Harlem,125,1071000
Little Italy,89,2238000
Upper West Side,557,13973000
Gramercy Park,198,3883000
Lower East Side,171,2537000
Midtown East,180,2279000
Inwood,92,394000
Little Italy,106,2446000
Washington Heights,49,471000
Harlem,44,484000
Chelsea,135,4214000
Morningside Heights,60,595000
Midtown East,192,4760000
Upper East Side,421,13704000
Hudson Yards,193,6776000
Upper West Side,292,6537000
Upper West Side,324,7542000
Morningside Heights,171,2430000
Chelsea,193,5088000
Carnegie Hill,241,8054000
Upper West Side,557,13513000
Lower East Side,137,2117000
Morningside Heights,138,1388000
Inwood,137,970000
Nolita,112,3003000
Stuyvesant Town,98,1608000
Hell's Kitchen,279,5118000
Tribeca,378,13796000
Battery Park City,199,3947000
Carnegie Hill,287,8930000
East Harlem,60,584000
Lower East Side,211,4063000
Upper West Side,350,6158000
West Village,310,5760000
Kips Bay,116,2093000
West Village,164,4722000
Kips Bay,75,1219000
Midtown West,116,2403000
Gramercy Park,274,6521000
SoHo,271,8284000
West Village,101,2676000
Nolita,42,1165000
Battery Park City,235,5936000
Flatiron,135,5225000
West Village,418,11982000
Chinatown,190,2753000
Midtown East,280,7005000
Tribeca,241,8271000
Harlem,211,1972000
Carnegie Hill,322,4050000
Midtown East,339,6569000
Midtown West,178,3630000
Morningside Heights,198,2096000
Upper East Side,517,16128000
Kips Bay,212,3383000
Little Italy,211,5425000
Hell's Kitchen,248,4540000
Two Bridges,137,1820000
Nolita,210,4002000
Chelsea,180,3225000
East Harlem,185,1814000
Midtown West,233,5182000
Flatiron,177,3345000
Financial District,173,3715000
Midtown West,37,839000
West Village,180,6508000
Greenwich Village,291,8484000
Flatiron,144,3958000
SoHo,241,7457000
West Village,324,11175000
Stuyvesant Town,175,3089000
Financial District,262,5636000
Battery Park City,220,5148000
Battery Park City,189,4178000
Kips Bay,204,3990000
Financial District,251,6395000
Murray Hill,185,4440000
Greenwich Village,182,4305000
Battery Park City,260,6147000
Gramercy Park,97,2211000
Chelsea,172,3752000
Harlem,216,1939000
Carnegie Hill,97,3250000
Chelsea,248,6292000
Harlem,144,1391000
Greenwich Village,230,6588000
Flatiron,183,5234000
Midtown East,226,6533000
Flatiron,50,957000
Washington Heights,134,742000
Inwood,93,666000
Battery Park City,61,1301000
Little Italy,106,2260000
Kips Bay,140,2856000
Chinatown,93,1275000
Flatiron,160,3316000
Greenwich Village,372,9393000
SoHo,194,6994000
Harlem,42,413000
Two Bridges,206,2462000
Tribeca,408,16654000
Two Bridges,182,1930000
Midtown East,269,6716000
Washington Heights,88,870000
Hell's Kitchen,265,6185000
Little Italy,236,6236000
Hell's Kitchen,160,3668000
Murray Hill,125,2237000
Financial District,186,3268000
Battery Park City,136,2225000
Upper West Side,292,5687000
Financial District,275,4020000
Midtown West,353,7210000
Murray Hill,169,2972000
Midtown West,149,3352000
Inwood,60,404000
Upper West Side,370,11735000
Gramercy Park,136,3030000
Chelsea,173,4903000
Tribeca,459,18587000
Hudson Yards,282,9132000
Kips Bay,116,2536000
Upper West Side,515,10622000
Chelsea,43,1413000
Midtown East,333,9348000
Hell's Kitchen,165,3938000
Hudson Yards,277,9145000
Gramercy Park,170,3828000
Hudson Yards,452,20590000
Inwood,72,572000
Flatiron,248,4672000
Hamilton Heights,113,970000
Flatiron,145,3482000
Nolita,189,4678000
Tribeca,468,18429000
Morningside Heights,54,536000
Hell's Kitchen,202,3174000
Carnegie Hill,253,6378000
Flatiron,267,7644000
Chinatown,175,2250000
Harlem,235,2309000
Chelsea,42,886000
Chelsea,294,6424000
Nolita,94,3124000
Hell's Kitchen,158,3797000
Nolita,140,2224000
Harlem,220,2436000
Tribeca,197,4322000
Stuyvesant Town,155,2735000
Little Italy,196,2615000
Morningside Heights,148,1890000
West Village,239,6928000
Harlem,129,1470000
Financial District,224,4489000
Midtown West,341,6880000
Tribeca,270,8242000
Stuyvesant Town,42,387000
Battery Park City,251,3719000
Murray Hill,205,4531000
Stuyvesant Town,180,3037000
Two Bridges,172,2288000
Tribeca,321,10843000
Financial District,234,3667000
Hell's Kitchen,202,4791000
Harlem,120,1621000
Greenwich Village,183,4109000
Midtown West,286,6095000
Gramercy Park,274,4280000
Carnegie Hill,93,2645000
Upper West Side,344,6638000
Chinatown,117,1373000
Chinatown,215,2888000
Financial District,116,2527000
Hudson Yards,65,2896000
Chelsea,218,4944000
Hamilton Heights,73,736000
Carnegie Hill,257,6542000
Morningside Heights,119,1724000
Chelsea,42,745000
Financial District,150,3186000
Midtown East,298,8154000
Midtown West,333,7261000
Chinatown,167,2073000
Chinatown,101,960000
Kips Bay,160,3730000
Harlem,140,1517000
Little Italy,138,3953000
Tribeca,436,16347000
Murray Hill,183,2941000
Two Bridges,160,2164000
Nolita,242,5421000
Upper West Side,152,3843000
Nolita,196,7007000
East Harlem,57,610000
Tribeca,413,13400000
Two Bridges,54,562000
Nolita,194,4532000
Greenwich Village,336,10157000
Chelsea,93,1983000
Morningside Heights,166,1571000
Morningside Heights,95,1091000
Battery Park City,325,7060000
Murray Hill,250,4650000
Upper East Side,220,6149000
Hell's Kitchen,135,3115000
Chinatown,74,765000
Hell's Kitchen,67,1436000
Kips Bay,125,2305000
Upper West Side,535,13915000
Murray Hill,37,894000
Morningside Heights,118,1282000
Battery Park City,257,5712000
Little Italy,166,4579000
Midtown East,209,3511000
West Village,418,13569000
Hudson Yards,218,9461000
Inwood,71,450000
Inwood,185,1069000
East Harlem,153,1204000
Chinatown,135,1399000
SoHo,114,4728000
Flatiron,276,3612000
Murray Hill,160,2767000
Stuyvesant Town,232,3926000
Tribeca,284,10517000
SoHo,191,5195000
Tribeca,132,3664000
Battery Park City,188,5061000
Greenwich Village,74,1783000
East Harlem,123,1109000
